,frequency,probability,IC
GO:0005215,1330760078,0.0013371187675243856,6.617238153450545
GO:1990837,1934,1.9432411139644676e-09,20.058908580598793
GO:0001067,1933,1.942236335725603e-09,20.0594257774037
GO:0140223,29,2.9138568927078365e-11,24.258958426625558
GO:0001216,8,8.038225910918169e-12,25.546812714932198
GO:0140110,259,2.6023756386597574e-10,22.069426194912495
GO:0090079,128,1.286116145746907e-10,22.774223992692416
GO:0045182,192,1.9291742186203606e-10,22.36875888458425
GO:0022843,290,2.913856892707836e-10,21.95637333363151
GO:0015085,298,2.994239151817018e-10,21.929160770106627
GO:0005244,1491,1.498124354147374e-09,20.319051941847295
GO:0005216,26362,2.6487963932953098e-08,17.446575398339622
GO:0022832,5869,5.8970434838973424e-09,18.948814716053697
GO:0046873,2719,2.731992031473313e-09,19.71823481197956
GO:0015267,566529,5.692360108858199e-07,14.378970706945156
GO:0022836,39727,3.991682509538077e-08,17.036467920344798
GO:0022803,6546894,6.578176623354337e-06,11.931752959941532
GO:0034603,5,5.023891194323856e-12,26.016816344177933
GO:0016620,9,9.04300414978294e-12,25.429029679275814
GO:0004738,7,7.033447672053398e-12,25.68034410755672
GO:0016903,43,4.320546427118516e-11,23.86505414091847
GO:0051233,1,1.0047782388647711e-12,27.626254256612032
GO:0097708,2759,2.7721831610279037e-09,19.703630682394746
GO:0043231,24638,2.4755726249150234e-08,17.514209011090113
GO:0030863,30,3.014334716594314e-11,24.22505687494988
GO:0012505,540,5.425802489869764e-10,21.334685117053713
GO:0019787,113,1.1353994099171915e-10,22.89886643789969
GO:0140096,4271,4.2914078581914376e-09,19.266650985770564
GO:0016755,256,2.572232291493814e-10,22.08107681213247
GO:0016746,76967,7.733476671070484e-08,16.375122219067766
GO:0016740,327370,3.2893425205716015e-07,14.927407947923616
GO:0098562,8,8.038225910918169e-12,25.546812714932198
GO:0098590,86,8.641092854237032e-11,23.171906960358523
GO:0045177,8,8.038225910918169e-12,25.546812714932198
GO:0098552,28,2.8133790688213592e-11,24.29404974643683
GO:0030135,14,1.4066895344106796e-11,24.987196926996774
GO:0008028,1,1.0047782388647711e-12,27.626254256612032
GO:0046943,24,2.4114677732754508e-11,24.448200426264087
GO:0008514,49,4.923413370437379e-11,23.734433958501405
GO:0005342,49,4.923413370437379e-11,23.734433958501405
GO:0070013,1038,1.0429598119416324e-09,20.681203192886198
GO:0043233,3639,3.656388011228902e-09,19.426790058999874
GO:0031974,10809,1.0860647983889312e-08,18.338119857195828
GO:0008047,16,1.6076451821836338e-11,24.85366553437225
GO:0030695,49,4.923413370437379e-11,23.734433958501405
GO:0030234,107,1.0751127155853051e-10,22.953425422150126
GO:0140677,47,4.722457722664425e-11,23.776106654901973
GO:0060589,62,6.229625080961581e-11,23.49911987156694
GO:0098772,382,3.838252872463426e-10,21.680833648005457
GO:0005815,69,6.932969848166921e-11,23.392147752014772
GO:0044877,133,1.3363550576901456e-10,22.73590512839028
GO:0008092,57,5.727235961529196e-11,23.583202988777483
GO:0016454,8,8.038225910918169e-12,25.546812714932198
GO:0016408,8,8.038225910918169e-12,25.546812714932198
GO:0016409,8,8.038225910918169e-12,25.546812714932198
GO:0016747,33156,3.331442728780035e-08,17.217275281900616
GO:0000217,12,1.2057338866377254e-11,25.14134760682403
GO:0031967,51,5.1243690182103333e-11,23.694428623887706
GO:0098809,3,3.0143347165943134e-12,26.52764196794392
GO:0016662,3,3.0143347165943134e-12,26.52764196794392
GO:0016661,6,6.028669433188627e-12,25.834494787383978
GO:0004197,1,1.0047782388647711e-12,27.626254256612032
GO:0008234,4,4.0191129554590846e-12,26.23995989549214
GO:0004175,3,3.0143347165943134e-12,26.52764196794392
GO:0008233,15,1.507167358297157e-11,24.918204055509822
GO:0035091,3,3.0143347165943134e-12,26.52764196794392
GO:0051861,3,3.0143347165943134e-12,26.52764196794392
GO:0005543,5,5.023891194323856e-12,26.016816344177933
GO:0097367,28,2.8133790688213592e-11,24.29404974643683
GO:0140597,22,2.2105121255024965e-11,24.535211803253716
GO:0140104,23,2.3109899493889738e-11,24.490760040682883
GO:0016889,7,7.033447672053398e-12,25.68034410755672
GO:0016894,7,7.033447672053398e-12,25.68034410755672
GO:0004536,61,6.129147257075104e-11,23.515380392438722
GO:0004519,108,1.0851604979739529e-10,22.944123029487812
GO:0140097,1205,1.2107577778320493e-09,20.532019410687276
GO:0120014,4,4.0191129554590846e-12,26.23995989549214
GO:0120013,9,9.04300414978294e-12,25.429029679275814
GO:0005548,4,4.0191129554590846e-12,26.23995989549214
GO:0005319,17,1.708123006070111e-11,24.793040912555817
GO:0030660,3,3.0143347165943134e-12,26.52764196794392
GO:0030662,3,3.0143347165943134e-12,26.52764196794392
GO:0030137,3,3.0143347165943134e-12,26.52764196794392
GO:0098588,28,2.8133790688213592e-11,24.29404974643683
GO:0030659,12,1.2057338866377254e-11,25.14134760682403
GO:0005798,6,6.028669433188627e-12,25.834494787383978
GO:0031090,272,2.732996809712178e-10,22.020452190316036
GO:0012506,35,3.516723836026699e-11,24.070906195122618
GO:0004672,176,1.7684097004019972e-10,22.455770261573882
GO:0016773,440,4.4210242510049934e-10,21.539479529699726
GO:0016301,440,4.4210242510049934e-10,21.539479529699726
GO:0016772,7699,7.735787661019874e-09,18.677408527333984
GO:0098791,16,1.6076451821836338e-11,24.85366553437225
GO:0031984,67,6.732014200393967e-11,23.421561637221068
GO:0022824,31,3.1148125404807904e-11,24.192267052126887
GO:0008066,23,2.3109899493889738e-11,24.490760040682883
GO:0005230,100,1.0047782388647712e-10,23.021084070623942
GO:0022835,88,8.842048502009986e-11,23.148917442133826
GO:0004888,436,4.3808331214504023e-10,21.548612013262996
GO:0015276,469,4.712409940275776e-10,21.475651488165752
GO:0030594,231,2.3210377317776215e-10,22.183836546090237
GO:0022834,3112,3.126869879347168e-09,19.58323337131375
GO:0038023,7437,7.472535762437303e-09,18.71203143590873
GO:0060089,81498,8.188741691100112e-08,16.317920497561488
GO:0000779,24,2.4114677732754508e-11,24.448200426264087
GO:0000775,24,2.4114677732754508e-11,24.448200426264087
GO:0015079,698,7.013352107276102e-10,21.078035153849658
GO:0099094,23,2.3109899493889738e-11,24.490760040682883
GO:0034061,167,1.677979658904168e-10,22.508260444195276
GO:0016779,1078,1.0831509414962233e-09,20.64339150514309
GO:0000323,78,7.837270263145215e-11,23.26954542992244
GO:0005773,194,1.9492697833976562e-10,22.358396097548702
GO:0044853,11,1.1052560627512483e-11,25.228358983813663
GO:0097733,2,2.0095564777295423e-12,26.93310707605209
GO:0097731,2,2.0095564777295423e-12,26.93310707605209
GO:0097730,2,2.0095564777295423e-12,26.93310707605209
GO:0036477,90,9.043004149782941e-11,23.126444586281767
GO:0043679,1,1.0047782388647711e-12,27.626254256612032
GO:0150034,4,4.0191129554590846e-12,26.23995989549214
GO:0044306,1,1.0047782388647711e-12,27.626254256612032
GO:0001217,3,3.0143347165943134e-12,26.52764196794392
GO:0048018,8,8.038225910918169e-12,25.546812714932198
GO:0030546,13,1.3062117105242025e-11,25.061304899150496
GO:0030545,18,1.808600829956588e-11,24.735882498715867
GO:0005126,11,1.1052560627512483e-11,25.228358983813663
GO:0140993,424,4.26025973278663e-10,21.576520801380074
GO:0061733,414,4.1597819089001526e-10,21.600388282786717
GO:0034212,1152,1.1575045311722164e-09,20.576999415356195
GO:0008080,2952,2.9661053611288044e-09,19.63601607089167
GO:0016410,7102,7.135935052417605e-09,18.758122543109
GO:0016891,13,1.3062117105242025e-11,25.061304899150496
GO:0004549,13,1.3062117105242025e-11,25.061304899150496
GO:0004521,14,1.4066895344106796e-11,24.987196926996774
GO:0016893,13,1.3062117105242025e-11,25.061304899150496
GO:0140101,16,1.6076451821836338e-11,24.85366553437225
GO:0016884,4,4.0191129554590846e-12,26.23995989549214
GO:0016879,7,7.033447672053398e-12,25.68034410755672
GO:0016874,58,5.827713785415673e-11,23.565811246065614
GO:0004930,2,2.0095564777295423e-12,26.93310707605209
GO:0140657,759,7.626266832983614e-10,20.994252479216403
GO:0015252,27,2.7129012449348823e-11,24.330417390607703
GO:0031256,15,1.507167358297157e-11,24.918204055509822
GO:0031253,15,1.507167358297157e-11,24.918204055509822
GO:0015108,85,8.540615030350555e-11,23.183603000121717
GO:0008509,544,5.465993619424356e-10,21.32730500975609
GO:0015103,166,1.66793187651552e-10,22.51426646825549
GO:0043021,8,8.038225910918169e-12,25.546812714932198
GO:0031490,16,1.6076451821836338e-11,24.85366553437225
GO:0003682,58,5.827713785415673e-11,23.565811246065614
GO:0022884,6,6.028669433188627e-12,25.834494787383978
GO:0140318,6,6.028669433188627e-12,25.834494787383978
GO:0140312,5,5.023891194323856e-12,26.016816344177933
GO:0010484,6,6.028669433188627e-12,25.834494787383978
GO:0042175,17,1.708123006070111e-11,24.793040912555817
GO:0098827,18,1.808600829956588e-11,24.735882498715867
GO:0097447,33,3.315768188253745e-11,24.129746695145553
GO:0019207,3,3.0143347165943134e-12,26.52764196794392
GO:0016783,4,4.0191129554590846e-12,26.23995989549214
GO:0016782,4,4.0191129554590846e-12,26.23995989549214
GO:0016675,5,5.023891194323856e-12,26.016816344177933
GO:0004714,1,1.0047782388647711e-12,27.626254256612032
GO:0019199,33,3.315768188253745e-11,24.129746695145553
GO:0004713,1,1.0047782388647711e-12,27.626254256612032
GO:0098858,3,3.0143347165943134e-12,26.52764196794392
GO:0140375,268,2.6928056801575866e-10,22.035267276101177
GO:0050997,2,2.0095564777295423e-12,26.93310707605209
GO:0043169,7,7.033447672053398e-12,25.68034410755672
GO:0036094,286,2.8736657631532456e-10,21.97026244579218
GO:0043167,44,4.421024251004993e-11,23.842064622693773
GO:0005539,2,2.0095564777295423e-12,26.93310707605209
GO:0120015,5,5.023891194323856e-12,26.016816344177933
GO:0098960,11,1.1052560627512483e-11,25.228358983813663
GO:1904315,5,5.023891194323856e-12,26.016816344177933
GO:0005231,6,6.028669433188627e-12,25.834494787383978
GO:0099529,5,5.023891194323856e-12,26.016816344177933
GO:0050664,2,2.0095564777295423e-12,26.93310707605209
GO:0004576,3,3.0143347165943134e-12,26.52764196794392
GO:0016758,20,2.0095564777295423e-11,24.630521983058042
GO:0016757,118,1.18563832186043e-10,22.855569632146366
GO:0019956,5,5.023891194323856e-12,26.016816344177933
GO:0019955,20,2.0095564777295423e-11,24.630521983058042
GO:0005520,3,3.0143347165943134e-12,26.52764196794392
GO:0070851,7,7.033447672053398e-12,25.68034410755672
GO:0050840,1,1.0047782388647711e-12,27.626254256612032
GO:0019901,1,1.0047782388647711e-12,27.626254256612032
GO:0019900,1,1.0047782388647711e-12,27.626254256612032
GO:0019899,9,9.04300414978294e-12,25.429029679275814
GO:0016234,1,1.0047782388647711e-12,27.626254256612032
GO:0031545,1,1.0047782388647711e-12,27.626254256612032
GO:0019798,1,1.0047782388647711e-12,27.626254256612032
GO:0031543,2,2.0095564777295423e-12,26.93310707605209
GO:0016706,3,3.0143347165943134e-12,26.52764196794392
GO:0051213,5,5.023891194323856e-12,26.016816344177933
GO:0016705,5,5.023891194323856e-12,26.016816344177933
GO:0016624,8,8.038225910918169e-12,25.546812714932198
GO:0008236,2,2.0095564777295423e-12,26.93310707605209
GO:0017171,2,2.0095564777295423e-12,26.93310707605209
GO:0004386,133,1.3363550576901456e-10,22.73590512839028
GO:0098576,3,3.0143347165943134e-12,26.52764196794392
GO:0098852,6,6.028669433188627e-12,25.834494787383978
GO:0005774,9,9.04300414978294e-12,25.429029679275814
GO:0097014,10,1.0047782388647711e-11,25.323669163617986
GO:0032838,14,1.4066895344106796e-11,24.987196926996774
GO:0099568,18,1.808600829956588e-11,24.735882498715867
GO:0042162,2,2.0095564777295423e-12,26.93310707605209
GO:0016835,1,1.0047782388647711e-12,27.626254256612032
GO:0016829,1,1.0047782388647711e-12,27.626254256612032
GO:1901338,1,1.0047782388647711e-12,27.626254256612032
GO:0099095,4,4.0191129554590846e-12,26.23995989549214
GO:0031966,7,7.033447672053398e-12,25.68034410755672
GO:0031968,1,1.0047782388647711e-12,27.626254256612032
GO:0005740,11,1.1052560627512483e-11,25.228358983813663
GO:0019867,1,1.0047782388647711e-12,27.626254256612032
GO:0045111,38,3.818157307686131e-11,23.988668096885647
GO:0008443,1,1.0047782388647711e-12,27.626254256612032
GO:0019200,1,1.0047782388647711e-12,27.626254256612032
GO:0042583,2,2.0095564777295423e-12,26.93310707605209
GO:0030667,3,3.0143347165943134e-12,26.52764196794392
GO:0099503,29,2.9138568927078365e-11,24.258958426625558
GO:0032356,5,5.023891194323856e-12,26.016816344177933
GO:0032135,14,1.4066895344106796e-11,24.987196926996774
GO:0032138,5,5.023891194323856e-12,26.016816344177933
GO:0035064,2,2.0095564777295423e-12,26.93310707605209
GO:0140034,2,2.0095564777295423e-12,26.93310707605209
GO:0140030,2,2.0095564777295423e-12,26.93310707605209
GO:0005791,1,1.0047782388647711e-12,27.626254256612032
GO:0034062,104,1.044969368419362e-10,22.981863357470658
GO:0097747,242,2.4315633380527463e-10,22.137316530455347
GO:0004675,11,1.1052560627512483e-11,25.228358983813663
GO:0098531,2,2.0095564777295423e-12,26.93310707605209
GO:0035639,5,5.023891194323856e-12,26.016816344177933
GO:0032559,8,8.038225910918169e-12,25.546812714932198
GO:1901265,89,8.942526325896464e-11,23.13761788687989
GO:1901363,89,8.942526325896464e-11,23.13761788687989
GO:0043168,9,9.04300414978294e-12,25.429029679275814
GO:0032555,13,1.3062117105242025e-11,25.061304899150496
GO:0030554,13,1.3062117105242025e-11,25.061304899150496
GO:0017076,36,3.617201659913176e-11,24.042735318155923
GO:0032553,18,1.808600829956588e-11,24.735882498715867
GO:0000166,69,6.932969848166921e-11,23.392147752014772
GO:0044352,1,1.0047782388647711e-12,27.626254256612032
GO:0016627,1,1.0047782388647711e-12,27.626254256612032
GO:0003774,5,5.023891194323856e-12,26.016816344177933
GO:0009925,2,2.0095564777295423e-12,26.93310707605209
GO:0045178,2,2.0095564777295423e-12,26.93310707605209
GO:0017111,6,6.028669433188627e-12,25.834494787383978
GO:0016462,10,1.0047782388647711e-11,25.323669163617986
GO:0016818,14,1.4066895344106796e-11,24.987196926996774
GO:0016817,18,1.808600829956588e-11,24.735882498715867
GO:0005272,3,3.0143347165943134e-12,26.52764196794392
GO:0015081,3,3.0143347165943134e-12,26.52764196794392
GO:0031091,1,1.0047782388647711e-12,27.626254256612032
GO:0032404,4,4.0191129554590846e-12,26.23995989549214
GO:0046872,2,2.0095564777295423e-12,26.93310707605209
GO:0016597,1,1.0047782388647711e-12,27.626254256612032
GO:0031406,1,1.0047782388647711e-12,27.626254256612032
GO:0043177,1,1.0047782388647711e-12,27.626254256612032
GO:0005237,1,1.0047782388647711e-12,27.626254256612032
GO:0016933,1,1.0047782388647711e-12,27.626254256612032
GO:0016881,1,1.0047782388647711e-12,27.626254256612032
GO:0008318,10,1.0047782388647711e-11,25.323669163617986
GO:0016765,100,1.0047782388647712e-10,23.021084070623942
GO:0004661,4,4.0191129554590846e-12,26.23995989549214
GO:0071782,1,1.0047782388647711e-12,27.626254256612032
GO:0030427,3,3.0143347165943134e-12,26.52764196794392
GO:0001163,3,3.0143347165943134e-12,26.52764196794392
GO:0030017,9,9.04300414978294e-12,25.429029679275814
GO:0030016,23,2.3109899493889738e-11,24.490760040682883
GO:0043292,48,4.8229355465509015e-11,23.75505324570414
GO:0008194,17,1.708123006070111e-11,24.793040912555817
GO:0032153,5,5.023891194323856e-12,26.016816344177933
GO:0140142,1,1.0047782388647711e-12,27.626254256612032
GO:0048763,1,1.0047782388647711e-12,27.626254256612032
GO:0015278,1,1.0047782388647711e-12,27.626254256612032
GO:0099604,1,1.0047782388647711e-12,27.626254256612032
GO:0005217,1,1.0047782388647711e-12,27.626254256612032
GO:0016209,11,1.1052560627512483e-11,25.228358983813663
GO:0016684,11,1.1052560627512483e-11,25.228358983813663
GO:0008483,1,1.0047782388647711e-12,27.626254256612032
GO:0016769,1,1.0047782388647711e-12,27.626254256612032
GO:0030133,6,6.028669433188627e-12,25.834494787383978
GO:0052689,1,1.0047782388647711e-12,27.626254256612032
GO:0004620,1,1.0047782388647711e-12,27.626254256612032
GO:0016298,1,1.0047782388647711e-12,27.626254256612032
GO:0070160,3,3.0143347165943134e-12,26.52764196794392
GO:0032982,1,1.0047782388647711e-12,27.626254256612032
GO:0036379,1,1.0047782388647711e-12,27.626254256612032
GO:0051020,6,6.028669433188627e-12,25.834494787383978
GO:0008641,5,5.023891194323856e-12,26.016816344177933
GO:0016877,7,7.033447672053398e-12,25.68034410755672
GO:0003777,2,2.0095564777295423e-12,26.93310707605209
GO:0016791,2,2.0095564777295423e-12,26.93310707605209
GO:0042578,2,2.0095564777295423e-12,26.93310707605209
GO:0000803,2,2.0095564777295423e-12,26.93310707605209
GO:0099086,3,3.0143347165943134e-12,26.52764196794392
GO:0000794,3,3.0143347165943134e-12,26.52764196794392
GO:0101005,3,3.0143347165943134e-12,26.52764196794392
GO:0019783,3,3.0143347165943134e-12,26.52764196794392
GO:0019866,6,6.028669433188627e-12,25.834494787383978
GO:0052742,1,1.0047782388647711e-12,27.626254256612032
GO:0001727,1,1.0047782388647711e-12,27.626254256612032
GO:0043175,2,2.0095564777295423e-12,26.93310707605209
GO:0001099,3,3.0143347165943134e-12,26.52764196794392
GO:0070063,2,2.0095564777295423e-12,26.93310707605209
GO:0001098,5,5.023891194323856e-12,26.016816344177933
GO:0031672,2,2.0095564777295423e-12,26.93310707605209
GO:0036464,1,1.0047782388647711e-12,27.626254256612032
GO:0035770,1,1.0047782388647711e-12,27.626254256612032
GO:0016811,4,4.0191129554590846e-12,26.23995989549214
GO:0033558,4,4.0191129554590846e-12,26.23995989549214
GO:0016810,6,6.028669433188627e-12,25.834494787383978
GO:0019213,4,4.0191129554590846e-12,26.23995989549214
GO:0061673,1,1.0047782388647711e-12,27.626254256612032
GO:0000235,1,1.0047782388647711e-12,27.626254256612032
GO:0005818,1,1.0047782388647711e-12,27.626254256612032
GO:0005879,1,1.0047782388647711e-12,27.626254256612032
GO:0097545,1,1.0047782388647711e-12,27.626254256612032
GO:0061659,11,1.1052560627512483e-11,25.228358983813663
GO:0016279,2,2.0095564777295423e-12,26.93310707605209
GO:0140938,2,2.0095564777295423e-12,26.93310707605209
GO:0016278,3,3.0143347165943134e-12,26.52764196794392
GO:0008276,7,7.033447672053398e-12,25.68034410755672
GO:0042054,3,3.0143347165943134e-12,26.52764196794392
GO:0008170,4,4.0191129554590846e-12,26.23995989549214
GO:0008757,4,4.0191129554590846e-12,26.23995989549214
GO:0008168,28,2.8133790688213592e-11,24.29404974643683
GO:0016741,63,6.330102904848059e-11,23.4831195302205
GO:0015020,1,1.0047782388647711e-12,27.626254256612032
GO:0016421,9,9.04300414978294e-12,25.429029679275814
GO:0016885,9,9.04300414978294e-12,25.429029679275814
GO:0003712,3,3.0143347165943134e-12,26.52764196794392
GO:0032454,1,1.0047782388647711e-12,27.626254256612032
GO:0141052,1,1.0047782388647711e-12,27.626254256612032
GO:0032452,1,1.0047782388647711e-12,27.626254256612032
GO:0140457,1,1.0047782388647711e-12,27.626254256612032
GO:0032451,1,1.0047782388647711e-12,27.626254256612032
GO:0036056,1,1.0047782388647711e-12,27.626254256612032
GO:0015271,5,5.023891194323856e-12,26.016816344177933
GO:0061980,4,4.0191129554590846e-12,26.23995989549214
GO:0032589,4,4.0191129554590846e-12,26.23995989549214
GO:0044304,1,1.0047782388647711e-12,27.626254256612032
GO:0042579,1,1.0047782388647711e-12,27.626254256612032
GO:0000992,2,2.0095564777295423e-12,26.93310707605209
GO:0001016,3,3.0143347165943134e-12,26.52764196794392
GO:0080084,1,1.0047782388647711e-12,27.626254256612032
GO:0000182,1,1.0047782388647711e-12,27.626254256612032
GO:0044298,1,1.0047782388647711e-12,27.626254256612032
GO:0044309,2,2.0095564777295423e-12,26.93310707605209
GO:0008251,1,1.0047782388647711e-12,27.626254256612032
GO:0004000,1,1.0047782388647711e-12,27.626254256612032
GO:0019239,1,1.0047782388647711e-12,27.626254256612032
GO:0016814,1,1.0047782388647711e-12,27.626254256612032
GO:0001091,1,1.0047782388647711e-12,27.626254256612032
GO:0140296,1,1.0047782388647711e-12,27.626254256612032
GO:0008134,1,1.0047782388647711e-12,27.626254256612032
GO:0140135,2,2.0095564777295423e-12,26.93310707605209
GO:0008381,2,2.0095564777295423e-12,26.93310707605209
GO:0015631,12,1.2057338866377254e-11,25.14134760682403
GO:0036002,1,1.0047782388647711e-12,27.626254256612032
GO:0016679,1,1.0047782388647711e-12,27.626254256612032
GO:0004812,1,1.0047782388647711e-12,27.626254256612032
GO:0016875,1,1.0047782388647711e-12,27.626254256612032
