,probability
GO:0003720,0.0015105740181268882
GO:0005764,0.0010672358591248667
GO:0003684,0.0018882175226586104
GO:0005901,0.003913198150124511
GO:0030315,0.0003557452863749555
GO:0031965,0.000711490572749911
GO:0005884,0.007470651013874066
GO:0001917,0.0010672358591248667
GO:0032391,0.000711490572749911
GO:0043025,0.0003557452863749555
GO:0043195,0.0003557452863749555
GO:0001227,0.0011329305135951663
GO:0005125,0.0018882175226586104
GO:0005127,0.0007552870090634441
GO:0004402,0.011329305135951661
GO:0005769,0.002845962290999644
GO:0003677,0.04682779456193353
GO:0003700,0.009818731117824773
GO:0004526,0.004909365558912387
GO:0000171,0.00037764350453172205
GO:0050567,0.0007552870090634441
GO:0004965,0.0007552870090634441
GO:0003689,0.004909365558912387
GO:0046933,0.010196374622356496
GO:0004176,0.00037764350453172205
GO:0032587,0.0035574528637495554
GO:0005254,0.0015105740181268882
GO:0043022,0.0030211480362537764
GO:0005819,0.006047669868374244
GO:0031492,0.006042296072507553
GO:0097427,0.000711490572749911
GO:0008320,0.0022658610271903325
GO:0005905,0.0010672358591248667
GO:0035615,0.0018882175226586104
GO:0035861,0.0010672358591248667
GO:0016607,0.0003557452863749555
GO:0036408,0.0022658610271903325
GO:0043995,0.0026435045317220545
GO:0043996,0.0026435045317220545
GO:0043997,0.0022658610271903325
GO:0005789,0.0003557452863749555
GO:1901588,0.0003557452863749555
GO:0009897,0.004268943436499467
GO:0005938,0.0010672358591248667
GO:0016324,0.000711490572749911
GO:0019209,0.0011329305135951663
GO:0000976,0.011329305135951661
GO:0030366,0.0015105740181268882
GO:0004129,0.0018882175226586104
GO:0005768,0.007114905727499111
GO:0005006,0.00037764350453172205
GO:0005902,0.000711490572749911
GO:0004911,0.0011329305135951663
GO:0003697,0.004531722054380665
GO:0031210,0.0007552870090634441
GO:0034987,0.0022658610271903325
GO:0042834,0.0007552870090634441
GO:0003779,0.006042296072507553
GO:0120020,0.0018882175226586104
GO:0005102,0.012084592145015106
GO:0050839,0.0007552870090634441
GO:0015464,0.0022658610271903325
GO:0022848,0.0018882175226586104
GO:0042166,0.00037764350453172205
GO:0019825,0.00037764350453172205
GO:0019838,0.007175226586102719
GO:0016604,0.006759160441124155
GO:0009055,0.006419939577039275
GO:0016175,0.0007552870090634441
GO:0004579,0.0011329305135951663
GO:0017134,0.0007552870090634441
GO:0019960,0.0018882175226586104
GO:0031994,0.0011329305135951663
GO:0038132,0.0011329305135951663
GO:0070051,0.00037764350453172205
GO:0038024,0.0007552870090634441
GO:0005515,0.04720543806646526
GO:0005138,0.0011329305135951663
GO:0043236,0.00037764350453172205
GO:0031981,0.009960868018498754
GO:0045121,0.003913198150124511
GO:0009986,0.004268943436499467
GO:0001846,0.00037764350453172205
GO:0005080,0.00037764350453172205
GO:0097413,0.0003557452863749555
GO:0004656,0.00037764350453172205
GO:0031410,0.02063322660974742
GO:0000014,0.0007552870090634441
GO:1990599,0.0007552870090634441
GO:0004739,0.0007552870090634441
GO:0005911,0.004980434009249377
GO:0004252,0.0007552870090634441
GO:0000139,0.000711490572749911
GO:0004897,0.0015105740181268882
GO:0004915,0.0015105740181268882
GO:0047101,0.0015105740181268882
GO:0017116,0.00037764350453172205
